"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.615030690E-1,-1.221042871E-1,-7.206547260E-1,9.775824547E0,9.803111662E0
2.635160690E-1,-4.548983276E-2,-6.871358752E-1,9.703998566E0,9.728402397E0
2.655270690E-1,-5.985504389E-2,-6.895300746E-1,9.648932457E0,9.673723787E0
2.675385690E-1,-8.858546615E-2,-7.062895298E-1,9.629778862E0,9.656051637E0
2.695502350E-1,-1.651999205E-1,-7.278373241E-1,9.641749382E0,9.670593019E0
2.735052350E-1,-1.723825186E-1,-7.206547260E-1,9.747094154E0,9.775218843E0
2.755190690E-1,-1.628057212E-1,-7.445967197E-1,9.814131737E0,9.843683849E0
2.775330690E-1,-1.292868853E-1,-7.517793179E-1,9.883563995E0,9.912957404E0
2.795460690E-1,-1.244984865E-1,-7.302315235E-1,9.902717590E0,9.930385371E0
2.815590690E-1,-1.292868853E-1,-7.086837292E-1,9.893140793E0,9.919333772E0
2.835717350E-1,-1.651999205E-1,-6.871358752E-1,9.862015724E0,9.887305036E0
2.855844850E-1,-1.819593310E-1,-7.134721279E-1,9.804554939E0,9.832164016E0
2.875972850E-1,-1.675941199E-1,-7.278373241E-1,9.773430824E0,9.801927618E0
2.896102850E-1,-8.858546615E-2,-7.445967197E-1,9.739912033E0,9.768733698E0
2.916234270E-1,-2.154781483E-2,-7.517793179E-1,9.723152161E0,9.752195875E0
2.936366770E-1,1.197100803E-2,-7.637503147E-1,9.718363762E0,9.748335861E0
2.956500100E-1,2.394201607E-2,-7.757213712E-1,9.715970039E0,9.746916983E0
2.976635100E-1,-1.915361360E-2,-7.637503147E-1,9.727940559E0,9.757894698E0
2.996771460E-1,-9.337386489E-2,-7.110779285E-1,9.785401344E0,9.811647668E0
3.016908120E-1,-1.364694983E-1,-7.015010715E-1,9.809343338E0,9.835341601E0
3.037045810E-1,-2.059013397E-1,-7.182605267E-1,9.852438927E0,9.880731064E0
3.057182950E-1,-2.274491638E-1,-7.445967197E-1,9.866804123E0,9.897473465E0
3.077318280E-1,-2.346317619E-1,-7.589619160E-1,9.864410400E0,9.896346184E0
3.097453900E-1,-2.513911724E-1,-7.517793179E-1,9.862015724E0,9.893822507E0
3.117589190E-1,-2.322375625E-1,-7.326257229E-1,9.806949615E0,9.837018628E0
3.137724190E-1,-2.322375625E-1,-7.278373241E-1,9.783007622E0,9.812793669E0
3.157859450E-1,-2.298433632E-1,-7.158663273E-1,9.715970039E0,9.745017515E0
3.177993450E-1,-1.939303428E-1,-6.823474765E-1,9.684844971E0,9.710789317E0
3.198127250E-1,-1.292868853E-1,-6.967126727E-1,9.680056572E0,9.705957907E0
